CustomerID,recency,fequency,monetry,RFM_Score
17625,41,554,2410.5,555
13246,41,334,1228.81,555
14505,40,1305,6457.63,555
17338,40,1065,5032.65,555
12474,40,700,3120.4,555
13488,40,635,3524.6,555
16422,40,624,2409.25,555
16655,40,541,2553.5,555
15150,40,510,2496.68,555
13268,40,401,1409.96,555
14506,40,352,2031.54,555
16722,40,335,1107.7,555
15965,40,284,1247.06,555
14467,40,274,1197.56,555
16607,40,267,1840.54,555
15811,40,230,1212.15,555
12656,40,224,1227.68,555
16985,40,213,2677.77,555
17360,40,191,930.72,555
16128,40,184,797.96,555
17519,40,182,985.12,555
14657,40,182,846.96,555
15845,40,170,931.84,555
17075,40,166,1037.59,555
17073,40,163,836.14,555
14049,39,970,4685.8,555
13174,39,801,4315.09,555
15727,39,609,3503.82,555
13018,39,577,2750.93,555
13448,39,485,2450.35,555
16255,39,459,2277.37,555
14099,39,433,1893.73,555
13742,39,293,1801.09,555
17700,39,275,1564.22,555
13139,39,259,1344.55,555
17463,39,258,1210.94,555
17469,39,235,1285.86,555
14334,39,230,1222.37,555
15916,39,222,1281.67,555
14675,39,207,851.04,555
17422,39,200,802.62,555
17725,39,174,835.59,555
13650,39,173,902.45,555
15005,38,2058,9343,555
17139,38,766,4335.47,555
15034,38,717,3603.82,555
12705,38,543,2414.93,555
17975,38,430,2371.99,555
14410,38,411,1859.16,555
15858,38,391,1606.95,555
14277,38,385,1839.42,555
12757,38,341,1422.96,555
15502,38,328,1961.97,555
14709,38,299,1642.15,555
17323,38,288,968.51,555
17228,38,285,1057.31,555
16271,38,250,930.15,555
16609,38,244,1348.25,555
13995,38,230,1009.55,555
13719,38,218,1124.17,555
12395,38,217,1024.81,555
14607,38,204,930.78,555
14640,38,190,1060.1,555
12937,38,183,793.09,555
15632,38,174,827.86,555
17516,38,170,792.7,555
12681,37,1316,5926.43,555
16814,37,711,3882.39,555
16327,37,709,2918.97,555
15382,37,597,2576.17,555
18172,37,458,2732.8,555
17348,37,408,1521.64,555
14710,37,394,1605.84,555
17813,37,324,1844.16,555
16719,37,320,1859.71,555
13048,37,230,912.6,555
13437,37,159,1112.25,555
15555,35,1450,5787.59,555
17231,35,1011,4883.23,555
16923,35,1000,5059.79,555
17068,35,848,3757.41,555
17365,35,727,2872.47,555
15861,35,674,2679.76,555
13571,35,618,2409.1,555
17769,35,565,2885.54,555
16005,35,402,1687.04,555
18145,35,370,1434.84,555
13610,35,354,1829.78,555
14878,35,329,1527.73,555
15514,35,315,1320.99,555
15351,35,292,1441.75,555
15436,35,273,1151.38,555
16942,35,257,1303.03,555
16407,35,209,1074.17,555
16983,35,209,1050.77,555
13782,35,200,1193.1,555
15747,35,193,845.84,555
13232,35,182,946.99,555
17812,35,173,846.66,555
15601,34,756,3425.43,555
18041,34,738,2966.95,555
13004,34,724,3134.77,555
17019,34,562,2223.44,555
15571,34,538,2420.8,555
13418,34,507,2477.41,555
13590,34,352,1524.13,555
18096,34,315,1356.98,555
17651,34,313,1347.51,555
16347,34,303,1607.86,555
17419,34,278,1634.63,555
13266,34,265,924.2,555
13758,34,256,1324.93,555
16744,34,205,934.72,555
16094,34,196,1257.5,555
13196,34,177,829.63,555
18229,34,176,1230.18,555
14215,34,164,808.95,555
16549,33,2812,11463.97,555
16782,33,1476,7485,555
18118,33,1261,5754.22,555
13137,33,1257,5179.05,555
14667,33,1037,5443.04,555
15615,33,796,3647.75,555
14961,33,618,3048.63,555
14088,33,600,4720.93,555
14701,33,542,2753.49,555
12451,33,455,1963.56,555
13999,33,432,2018.7,555
14390,33,387,1995.71,555
14723,33,338,1376.15,555
15218,33,330,1715.19,555
14711,33,309,2013.61,555
13198,33,278,1211.07,555
16168,33,269,1679.69,555
16992,33,259,1910.13,555
14180,33,255,3000.58,555
13576,33,236,1336.16,555
16775,33,234,1529.03,555
14419,33,212,961.71,555
12627,33,206,931.42,555
14209,33,201,1520.25,555
17682,33,198,898.22,555
14554,33,186,878.14,555
16818,33,179,840.6,555
14156,32,3594,19274.88,555
15039,32,2290,11926.15,555
13050,32,865,4400.85,555
16241,32,826,3652.92,555
17340,32,651,3343.91,555
14713,32,602,2534.34,555
12714,32,592,2464.26,555
16712,32,500,2522.28,555
14936,32,476,2825.26,555
14755,32,435,2699.44,555
14963,32,412,1705.69,555
16115,32,386,1702.23,555
15046,32,355,1838.01,555
16717,32,341,1820.67,555
14733,32,295,1825.43,555
15024,32,295,1385.31,555
14432,32,295,1013.75,555
15152,32,285,1551.49,555
16265,32,278,1515.43,555
14062,32,277,1309.66,555
17288,32,268,1316.9,555
14258,32,243,1487.89,555
14540,32,241,1390.55,555
15251,32,236,1441.57,555
13658,32,219,1424.48,555
12524,32,214,871.16,555
15680,32,210,1067.37,555
15676,32,204,1054.96,555
15394,32,194,1105.52,555
12598,32,189,803.48,555
15444,32,188,914.51,555
16101,32,185,902.32,555
17096,32,183,1117.19,555
16062,32,172,816.52,555
13012,32,166,851.19,555
15073,32,161,905.12,555
17576,31,774,4183.32,555
16938,31,710,3329.49,555
16242,31,630,3007.87,555
15021,31,542,2575.7,555
14329,31,518,2716.51,555
15993,31,505,2197.43,555
14367,31,477,2464.67,555
16700,31,477,1981.9,555
14525,31,464,2264.22,555
14146,31,452,2208.56,555
15544,31,447,1491.19,555
17450,31,410,2176.92,555
15862,31,399,1866.92,555
16011,31,394,1824.53,555
14388,31,365,1800.95,555
16839,31,356,1844.98,555
16145,31,352,1690.8,555
14299,31,332,1761.62,555
16813,31,331,1268.15,555
18077,31,330,1228.6,555
15144,31,319,1641.64,555
14243,31,318,1880.37,555
